,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,5418,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6289,4081,105,227,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,3
2,0,6276,4237,139,236,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
3,0,44,26,13224,1082,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,11,0,1,0,0,2,0,22,93,0,0,0,0,476
4,0,339,141,1968,10569,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,4,0,0,0,0,0
5,0,0,0,0,0,1469,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,179,21,0,2,0,2384,1293,0,0,0,25,0,1475,0,0,0,0,0,0,0,0,0,1,0,0,15373,0,0,10,6,0,24291,0,1,14,0,0
7,0,6,2,72,28,0,74,76893,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,1203,0,0,355,0,0,0,0,0
8,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,6382,0,0,0,0,0,0,0,0,0,0,138,84,94,46,0
9,0,0,1,14,322,0,0,0,0,25705,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,14,3,0,0,2,0,1,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3
11,0,0,0,2,0,0,2,2,0,0,0,6844,0,0,0,0,0,0,0,0,0,0,0,600,624,0,2,0,0,0,0,0,2,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,198,0,6102,156,104,43,37,39,37,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
13,0,109,9,35,0,0,0,22,0,289,0,4,0,20507,0,0,0,0,0,0,0,2,0,16,4,0,4,0,1,2,0,0,85,0,0,0,0,19
14,0,0,0,0,0,0,0,0,2,2,0,0,225,0,5905,145,88,61,41,57,40,0,95,1,0,0,0,26,0,0,0,0,0,6,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,5562,0,336,148,99,52,42,39,28,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,5353,0,0,0,220,0,361,144,92,56,33,38,33,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,2659,1,0,0,113,0,290,72,54,30,14,21,16,0,6,1,0,0,0,12,0,0,0,0,0,2,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,223,0,351,140,87,5398,36,54,35,0,22,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,205,0,350,140,86,61,39,5391,41,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,223,0,5707,130,87,68,25,43,39,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,130,0,0,0,0,0,1,0,0,1,0,0,0,0,1746,0,0,0,0,0,0,0,0,0,0,83,79,59,5799,0
23,0,0,0,0,0,0,0,0,0,4100,0,1458,0,0,0,0,0,0,0,0,0,0,0,30583,591,0,0,0,83,14,0,0,194,0,0,0,0,0
24,0,0,12,0,0,0,0,0,0,3,0,488,0,0,0,0,0,0,0,0,0,0,0,93,2374,0,0,0,3,0,0,0,2,0,0,0,0,0
25,0,0,0,4292,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79105
26,7,13,0,3,0,0,71,6,0,19,2,22,0,212,0,0,0,0,1,0,0,0,0,0,0,0,8898,14,704,3,1,29,161,0,0,0,0,19
27,0,0,0,0,0,0,0,0,26,0,0,0,0,0,31,0,0,0,3,0,0,0,129,0,0,0,506,1107,0,0,0,0,0,5,5,4,2,0
28,0,1,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,76,0,0,0,0,11739,0,0,0,1948,0,0,0,0,0
29,0,3,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3413,9,1,13,0,0,0,0,9
30,0,2,3,1,0,0,4,0,0,22,0,0,0,96,0,0,0,0,0,0,0,0,56,0,0,0,8,14,6,2,21609,0,129,0,0,1,0,0
31,0,2,3,156,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,206,9,0,0,0,0,0
32,0,124,0,18,0,0,292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,28,0,4500,0,0,0,0,0
33,0,0,0,0,0,0,0,0,172,0,0,0,0,0,1,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,142,59,105,5486,0
34,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,1,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,143,62,110,4953,0
35,0,0,0,0,0,0,0,0,179,0,0,0,0,0,1,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,133,68,101,5497,0
36,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,116,75,84,5046,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055
